id,created_at,centre_name,address,city,phone,email,manager_id,opened_date,revenue,employees_count,status,surface,services,opening_hours,updated_at,capacity,photo_url
1,2025-07-23 21:19:46.521654+00,Mafalia Centre-Ville,"123 Avenue de la République, Dakar",Dakar,+221 33 123 45 67,centre-ville@mafalia.com,,2022-05-15,24500000,12,Ouvert,180,"[""Sur place"",""Livraison"",""Wi-Fi""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""mardi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-07-30 15:40:40.970977+00,100,
2,2025-07-23 21:19:46.521654+00,Mafalia Almadies,45 Route des Almadies,Dakar,+221 33 234 56 78,almadies@mafalia.com,,2023-01-10,32800000,15,Ouvert,200,"[""Sur place"",""Terrasse"",""Wi-Fi""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-07-30 15:40:40.970977+00,100,
3,2025-07-23 21:19:46.521654+00,Mafalia Plateau,78 Avenue Léopold Sédar Senghor,Dakar,+221 33 345 67 89,plateau@mafalia.com,,2022-08-22,18900000,10,Ouvert,150,"[""Sur place"",""Terrasse"",""Wi-Fi"",""Salle privée""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-07-30 15:40:40.970977+00,50,
4,2025-07-23 21:19:46.521654+00,Mafalia Médina,12 Rue Félix Faure,Dakar,+221 33 456 78 90,medina@mafalia.com,,2023-03-05,14200000,8,Ouvert,120,"[""Sur place"",""Livraison""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-07-30 15:40:40.970977+00,30,
5,2025-07-23 21:19:46.521654+00,Mafalia Yoff ville,56 Route de l'Aéroport,Dakar,+221 33 567 89 01,yoff@mafalia.com,,2023-06-20,16800000,9,Ouvert,160,"[""Sur place"",""Terrasse""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-07-30 15:40:40.970977+00,150,
8,2025-08-03 10:43:56.061087+00,Mafalia Thiès,23 Avenue Caen,Thiès,+221 33 678 90 12,thies@mafalia.com,,2023-09-15,9800000,6,Ouvert,100,"[""Sur place"",""Livraison""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-08-03 10:43:56.061087+00,80,
9,2025-08-03 10:43:56.061087+00,Mafalia Saint-Louis,89 Quai Roume,Saint-Louis,+221 33 789 01 23,saintlouis@mafalia.com,,2023-11-10,7500000,5,Ouvert,90,"[""Sur place""]","{""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-08-03 10:43:56.061087+00,99,
10,2025-08-03 10:43:56.061087+00,Mafalia Touba,12 Avenue Serigne Touba,Touba,+221 33 901 23 45,touba@mafalia.com,,2024-06-15,0,0,Ouverture prochaine,110,,,2025-08-03 10:43:56.061087+00,,
11,2025-08-03 10:43:56.061087+00,Mafalia Mbour,34 Avenue de la Plage,Mbour,+221 33 890 12 34,mbour@mafalia.com,,2024-02-20,0,0,En rénovation,95,,,2025-08-03 10:43:56.061087+00,,
15,2025-08-05 21:16:00.993184+00,Mafalia Guediawaye,Dakar,Dakar,333333333,guediwayecentre@mafalia.com,,2025-12-05,0,0,Fermé,106,"[""Sur place"",""Wi-Fi"",""Terrasse"",""Réservation""]","{""jeudi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""lundi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""13:00""}]},""mardi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""samedi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""dimanche"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""mercredi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]},""vendredi"":{""open"":""08:00"",""close"":""22:00"",""breaks"":[{""end"":""14:00"",""start"":""12:00""}]}}",2025-08-05 21:16:00.993184+00,106,
